ID,Address,City,State,Zip Code,Census Tract,BBL
306,2323 Walton Avenue,Bronx,NY,10468,36005023900,2-03187-0047
307,2690-2694-2698 Briggs Avenue,Bronx,NY,10458,0,02-3294-30
308,999 East 178th Street,Bronx,NY,10460,36005036100,2-03131-0020
309,56-58 West 180th Street,Bronx,NY,10453,36005025100,02-3206-22
310,2085 Walton Ave,Bronx,NY,10453,36005024100,02-3179-47
311,100 East 182nd Street,Bronx,NY,10453,36005023704,02-3170-27
312,38 West 182nd Street,Bronx,NY,10453,36005025100,02-3195-16
313,2240 Walton Ave,Bronx,NY,10453,36005023900,02-3182-4
314,1830 Amethyst Street,Bronx,NY,10462,36005023600,2-4048-14
315,2385 Valentine Avenue,Bronx,NY,10458,36005023702,02-3152-29
316,2314 Morris Ave,Bronx,NY,10468,36005023703,02-3172-8
317,2333 Grand Ave,Bronx,NY,10468,36005025300,02-3209-45
318,2600 Briggs Ave,Bronx,NY,10458,36005039901,02-3293-39
319,2285 Davidson Ave,Bronx,NY,10468,36005025300,02-3197-9
320,2295 Andrews Ave,Bronx,NY,10468,36005025500,02-3225-22
321,2432 University Ave,Bronx,NY,10468,36005026300,02-3213-14
322,2356 Walton Avenue,Bronx,NY,10468,36005023900,02-3183-37
323,2270 Walton Ave,Bronx,NY,10453,36005023900,02-3182-19
324,2380 Ryer Ave,Bronx,NY,10458,36005023702,02-3152-3
325,814 East 181st Street,Bronx,NY,10460,36005036501,2-3111-9
326,10 West 135th Street,New York,NY,10037,36061021200,1-01730-0045
327,2186 Fifth Avenue,New York,NY,10037,36061021200,1-01730-0036
328,25 West 132nd Street,New York,NY,10037,36061021200,1-01730-0025
329,40 West 135th Street,New York,NY,10037,36061021200,1-01730-0064
330,470 Lenox Avenue,New York,NY,10037,36061021200,1-01730-0075
331,45 West 132nd Street,New York,NY,10037,36061021200,1-01730-0009
332,200 East 87th Street,New York,NY,10128,36061014602,1-01532-0004
333,1239 Broadway,New York,NY,10001,36061007600,1-00832-0001
334,245 East 58th Street,New York,NY,10022,36061010803,1-01332-0029
335,2600 Netherland Ave,ronx,NY,10463,36005029302,2-05722-0475
336,2766 university avenue,Bronx,NY,10468,36005026702,2-03249-0006
337,630 St Nicholas Ave,New York,NY,10030,36061022700,1-02051-0001
338,501 East 79th Street,New York,NY,10075,0,1-01576-0001
339,1818 Anthony Ave.,Bronx,NY,10457,36005023100,2028920011
340,80 McClellan St.,Bronx,NY,10452,36005019500,2024780030
341,185 McClellan St.,Bronx,NY,10456,36005018102,2024560181
342,1181 Sheridan Ave.,Bronx,NY,10456,36005018102,2024560175
343,281 Edgecombe Ave.,New York,NY,10031,36061023100,1020530014
344,2025 Walton Ave.,Bronx,NY,10453,36005024100,2028540056
345,1915 Morris Ave.,Bronx,NY,10453,36005023301,2028280030
346,2390 Tiebout Ave.,Bronx,NY,10458,36005039902,2030220010
347,2805 Pond Place,Bronx,NY,10458,36005040502,2032900042
348,1860 Morris Ave.,Bronx,NY,10453,36005023301,2028050001
349,2256 Walton Ave.,Bronx,NY,10453,36005023900,2031820008
350,214 East 179th St.,Bronx,NY,10457,36005023502,2028100013
351,2180 Anthony Ave.,Bronx,NY,10457,36005038100,2031570017
352,935 Ogden Ave.,Bronx,NY,10452,36005018900,2025240018
353,2357 Prospect Ave.,Bronx,NY,10458,36005039300,2031020039
354,33-52 85th Street,Jackson Heights,NY,11372,36081028100,4014320034
355,"10,20,30,40 Richman Plaza",Bronx,NY,10453,0,2-02882-0229
356,370 Columbus Avenue,Manhattan,NY,10024,36061016100,1-01149-0033
357,2955 Grand Concourse,Bronx,NY,10468,36005041100,2-3310-0081
358,73-83 Vermilyea Avenue,Manhattan,NY,10034,36061029100,1-02225-0010
359,15 Sickles Street,New York,NY,10040,36061028500,1-2174-0145
360,621 w 188th Street,New York,NY,10040,36061027900,1-2168-0031
361,6 West 190th Street,Bronx,NY,10468,36005026500,2-3200-0016
362,2955 Grand Concourse,Bronx,NY,10468,36005041100,2-03310-0081
363,73-83 Vermilyea Avenue,Manhattan,NY,10034,36061029100,1-02225-0010
364,15 Sickles Street,New York,NY,10040,36061028500,1-02174-0145
365,621 w 188th Street,New York,NY,10040,36061027900,1-02168-0031
366,6 West 190th Street,Bronx,NY,10468,36005026500,2-03200-0016
367,214 Audubon Avenue,Manhattan,NY,10033,36061026100,1-02133-0016
368,220 Audubon Avenue,Manhattan,NY,10033,36061026100,1-02133-0050
369,228 Audubon Avenue,Manhattan,NY,10033,36061026100,1-02133-0046
370,240 Audubon Avenue,Manhattan,NY,10033,36061026100,1-02133-0080
371,248 Audubon Avenue,Manhattan,NY,10033,36061026100,1-02133-0076
372,162-168 West 87th Street,New York,NY,10024,36061017300,1012170057
373,595 Columbus Avenue,New York,NY,10024,36061017300,1012020001
374,3600 Fieldston Road,Bronx,NY,10463,36005029500,2-05771-0020
375,20 East 9th Street,New York,NY,10003,36061005900,1005660018
376,213 West 35th Street,New York,NY,10001,36061010900,1-00785-0029
377,415 Stratford Road,Brooklyn,NY,11218,36047052600,3-05154-0047
378,67-14 41st Avenue,Queens,NY,11377,36081026300,4-01307-0023
379,43-14 60th Street,Queens,NY,11377,36081024900,4-01333-0086
380,40-70 Hampton Street,Queens,NY,11373,36081026901,4-01505-0037
381,42-07 Elbertson Street,Queens,NY,11373,36081046700,4-01566-0001
382,25-11 Union Street,Queens,NY,11354,36081104700,4-04769-0001
383,3077 Cross Bronx Expressway,Bronx,NY,10465,0,2-05444-0095
384,488-500 Southern Boulevard,Bronx,NY,10455,36005003100,2-02600-0131
385,88 Bleecker Street,Manhattan,NY,10012,36061005501,1-00523-0038
386,3601 Johnson Avenue,Bronx,NY,10463,36005029700,2-05799-0073
387,142-24 38 Avenue,Queens,NY,11354,36081086500,4050200017
388,43 Wooster Street,New York,NY,10013,36061004700,00475/1509
389,3108 Brighton 5th Street,brooklyn,NY,11235,36047036002,3086880084
390,1141-61 Jerome Avenue,Bronx,NY,10452,36005019900,2025050064
391,1710 Montgomery Avenue,Bronx,NY,10453,36005021501,2028780120
392,1730 Montgomery Avenue,Bronx,NY,10453,36005021501,2028780126
393,1750 Montgomery Avenue,Bronx,NY,10453,36005021501,2028780132
394,288 Crown Street,Brooklyn,NY,11225,36047031900,3012970006
