4970,"47 Plaza Street West, Brooklyn, NY, 11217",Match,Exact,"47 PLAZA ST W, BROOKLYN, NY, 11217","-73.97142274799995,40.673626471000034",652206597,R,36,47,15900,6003
3640,"499 Ocean Avenue, Brooklyn, NY, 11226",Match,Exact,"499 OCEAN AVE, BROOKLYN, NY, 11226","-73.96110449399998,40.65059985600004",59080976,L,36,47,50801,2001
4971,"367 South 2nd St, Brooklyn, NY, 11211",Match,Exact,"367 S 2ND ST, BROOKLYN, NY, 11211","-73.95282409099997,40.70989456500007",59076750,L,36,47,51300,4012
2306,"1801 Haight Ave, Bronx, NY, 10461",Match,Exact,"1801 HAIGHT AVE, BRONX, NY, 10461","-73.85317180599998,40.84970300900005",80305232,L,36,5,25400,1003
3638,"1440 East 14th Street, Brooklyn, NY, 11230",Match,Exact,"1440 E 14TH ST, BROOKLYN, NY, 11230","-73.96029997299996,40.61439297600003",59089758,R,36,47,54200,3000
4969,"410 State Street, Brooklyn, NY, 11217",Match,Exact,"410 STATE ST, BROOKLYN, NY, 11217","-73.98374372199999,40.68730574500006",650081181,R,36,47,4100,1004
2305,"738-40 W 187 Street, New York, NY, 10033",Match,Exact,"738 W 187TH ST, NEW YORK, NY, 10033","-73.93520204699996,40.854664230000026",59655546,L,36,61,27100,5000
3639,"231-235 East 55th, New York, NY, 10022",Match,Non_Exact,"231 E 55TH ST, NEW YORK, NY, 10022","-73.96736599699994,40.75849364800007",639436998,L,36,61,10801,1000
2304,"870 Ocean Parkway, Brooklyn, NY, 11230",Match,Exact,"870 OCEAN PKWY, BROOKLYN, NY, 11230","-73.97131986899996,40.62722151200006",640848145,R,36,47,46201,2008
2303,"4520 4th Ave, Brooklyn, NY, 11220",Match,Exact,"4520 4TH AVE, BROOKLYN, NY, 11220","-74.00981442299997,40.649131915000055",59094416,R,36,47,8000,3000
2302,"1665 Macombs Rd, Bronx, NY, 10453",Match,Exact,"1665 MACOMBS RD, BRONX, NY, 10453","-73.91621862099998,40.84773489500003",80299605,L,36,5,21502,3000
2301,"250 W 91 St, New York, NY, 10024",Match,Exact,"250 W 91ST ST, NEW YORK, NY, 10024","-73.97422375699995,40.79151283700003",642471669,L,36,61,17900,5002
2300,"10 Leonard Street, New York, NY, 10013",Match,Exact,"10 LEONARD ST, NEW YORK, NY, 10013","-74.00829696199997,40.718823830000076",59660177,R,36,61,3300,2016
3630,"255 W. 85th Street, New York, NY, 10024",Match,Exact,"255 W 85TH ST, NEW YORK, NY, 10024","-73.97725888999997,40.78774651600003",59656620,R,36,61,17100,3000
4961,"55 Liberty Street, New York, NY, 10005",Match,Exact,"55 LIBERTY ST, NEW YORK, NY, 10005","-74.00956164499996,40.70871591300005",59659648,R,36,61,1502,1004
3631,"1011 Carroll Place, Bronx, NY, 10452",Match,Non_Exact,"1011 CARROLL PL, BRONX, NY, 10456","-73.91937248199997,40.82983594700005",80300431,L,36,5,18301,3001
4962,"370 Columbus Avenue, New York, NY, 10024",Match,Exact,"370 COLUMBUS AVE, NEW YORK, NY, 10024","-73.97615967299998,40.78103172400006",59656753,L,36,61,16100,1000
3632,"1215 Avenue N, Brooklyn, NY, 11230",Match,Exact,"1215 AVENUE N, BROOKLYN, NY, 11230","-73.96217628199997,40.615339565000056",59089709,L,36,47,76800,3006
4963,"1455 Grand Concourse, Bronx, NY, 10452",Match,Exact,"1455 GRAND CONCOURSE, BRONX, NY, 10452","-73.91315063099995,40.84021210800006",640810244,L,36,5,22300,4001
3633,"960 Willoughby Avenue, Brooklyn, NY, 11221",Match,Exact,"960 WILLOUGHBY AVE, BROOKLYN, NY, 11221","-73.93046037599998,40.69794278200004",59100012,R,36,47,39100,2005
4964,"335 State Street, Brooklyn, NY, 11217",Match,Exact,"335 STATE ST, BROOKLYN, NY, 11217","-73.98554939699994,40.688021734000074",59075360,L,36,47,4100,1002
3634,"2381 Ocean Ave, Brooklyn, NY, 11229",Match,Exact,"2381 OCEAN AVE, BROOKLYN, NY, 11229","-73.95216186099998,40.603397647000065",59090136,L,36,47,56000,1003
4965,"78 Manhattan Avenue, New York, NY, 10025",Match,Exact,"78 MANHATTAN AVE, NEW YORK, NY, 10025","-73.96267232099996,40.79699967700003",59656911,R,36,61,18900,1002
2309,"485 Lenox Avenue, New York, NY, 10037",Match,Exact,"485 LENOX AVE, NEW YORK, NY, 10037","-73.94121976099996,40.81361987900004",59656419,L,36,61,22800,2002
