,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
116,1014860001,501 East 74th Street,NEW YORK,10021
117,1014860001,501 East 74th Street,NEW YORK,10021
118,1014860001,501 East 74th Street,NEW YORK,10021
119,1014860001,501 East 74th Street,NEW YORK,10021
120,4-04958-7502,135-17 Northern Blvd.,Flushing,11354
121,3-00416-0017,421 Degraw,Brooklyn,11231
122,4-03341-0037,111-45 76 Drive,Queens,11375
123,3-08680-0001,40-50 Brighton 1st Road,Brooklyn,11235
124,3-06319-0006,8201 Bay Parkway,Brooklyn,11214
125,1-00991-0060,10-40 Waterside Plaza,New York,10010
126,3-06344-0033,1864 85 st.,brooklyn,11214
127,1-02180-0098,31 Bennett Ave.,New York,10033
128,1-01008-0026,105 West 55 St.,New York,10019
129,1-01186-0025,365 West End Ave.,New York,10024
130,1021720060,60 Nagle Avenue,New York,10040
131,1-00803-0007,153 West 27th St,New York,10001
132,1-00738-7504,345 West 14th Street,New York,10014
133,4019020039,56-11 94TH ST,QUEENS,11373
134,4014890018,40-40 79TH ST,QUEENS,11373
135,1018420029,461 CENTRAL PARK WEST,NEW YORK,10025
136,4012630015,34-44 77th Street,Queens,11372
137,1008830044,145 EAST 27TH STREET,New York,10016
138,1008890068,120 East 34th Street,New York,10016
139,1009130001,200 East 33rd  Street,New York,10016
140,1005480070,300 Mercer,New York,10003
141,1011520013,229 West 60th Street,New York,10023
142,1014600047,400 EAST 66TH STREET,NEW YOUR,10065
143,1015247502,108 EAST 96TH S,NEW YORK,10128
144,,530 Second Avenue,New York,10016
145,,315 East 21st Street,New York,10010
146,1-00802-0022,127 West 26th Street,New York,10001
147,1-01366-0047,400 East 55th Street,New York,10017
148,1-01994-0038,524 Riverside Drive,New York,10027
149,1-01089-0001,640 West 42nd Street,New York,10036
150,1-01089-7502,606/610/620 W 42nd st,New York,10036
151,1-01089-7501,601 W41st St,New York,10036
152,1-01089-7502,606/610/620 W 42nd st,New York,10036
153,3-05979-0046,P.O. Box 290 523,Brooklyn,112290523
154,2025050064,1141-61 Jerome Avenue,Bronx,10452
155,2028780120,1710 Montgomery Avenue,Bronx,10453
156,2028780126,1730 Montgomery Avenue,Bronx,10453
157,2028780132,1750 Montgomery Avenue,Bronx,10453
158,3012970006,288 Crown Street,Brooklyn,11225
