,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
2046,3-06656-0006,1702 Dahill Road,Brooklyn,11223
2047,4-07656-0002,221-08 64 Avenue... Various (See Notes),Queens,11364
2048,4-07668-0010,222-01 69 Avenue... Various (See Notes),Queens,11364
2049,4-07670-0002,223-02 65 Avenue,Queens,11364
2050,4-03106-0020,62-05 Woodhaven Boulevard,Queens,11374
2051,3-05150-0006,734 Ocean Avenue,Brooklyn,11226
2052,3-05150-0013,"750 Ocean Avenue,",Brooklyn,11226
2053,3-05139-0035,2801 Beverley Road,Brooklyn,11226
2054,3-06019-0041,8302 6 Avenue,Brooklyn,11209
2055,3-04621-0001,155 East 51 Street,Brooklyn,11203
2056,3-06115-0037,112 Marine Avenue,Brooklyn,11209
2057,4-03087-0002,6541 Booth St,Rego Park,11374
2058,4-03255-7501,7234 Austin Street,Queens,11375
2059,1-01532-0001,201 E. 86th St,New York,10028
2060,4-06021-0029,198-39 32nd Avenue,Little Neck,11363
2061,4-04995-0014,144-12 34th Avenue,Flushing,11354
2062,2-02872-0326,1505  Macombs Road,Bronx,10452
2063,1-00765-0041,200 West 16th Street,New York,10011
2064,2-03156-0141,210 East 181st Street,Bronx,10457
2065,2-03161-0010,2100 Creston Avenue,Bronx,10453
2066,4-15762-0008,22-10 Brookhaven Avenue,Far Rockaway,11691
2067,2-03343-0204,250 East Gun Hill Rd.,Bronx,10467
2068,2-03287-0109,2641 Marion Avenue,Bronx,10458
2069,1-02170-0287,330 Wadsworth Ave.,New York,10040
2070,2-03356-0122,3524 Hull Avenue,Bronx,10467
2071,2-05795-0537,3555 Netherland Ave.,Bronx,10463
2072,4-05012-0012,3619 Bowne Street,Flushing,11354
2073,1-01066-0029,401 West 56th Street,New York,10019
2074,1-00791-0050,114 WEST 16th   STREET,New York,10011
2075,1-00792-0024,115 WEST 16th   STREET,New York,10011
2076,3-05329-0058,183 OCEAN PARKWAY,Brooklyn,11218
2077,3-05329-0052,201 OCEAN PARKWAY,Brooklyn,11218
2078,2-02841-0050,114 ELLIOT PLACE,Bronx,10452
2079,2-03311-0107,166 EAST 205 STREET,Bronx,10458
2080,1-01041-0038,306 WEST 51st   STREET,New York,10019
2081,4-05013-0031,37-04 PARSONS BOULEVARD,Flushing,11354
2082,4-03320-0018,82-60 116th   STREET,Jamaica,11418
2083,4003670027,37-10 Crescent Street,Brooklyn,11101
2084,4-03257-0009,108-25 72nd Avenue,Flushing,11375
2085,4-03342-7501,111-56 76 Drive,Flushing,11375
2086,4-02246-0011,112-08 70 Rd,Flushing,11375
2087,4-02248-0074,112-15 72nd Road,Flushing,11375
2088,3-07556-0053,118 Kenilworth Pl.,Brooklyn,11210
2089,3-06747-0052,1801 Avenue N,Brooklyn,11230
2090,4-00188-0021,41-00 43 Ave,Long Island City,11104
2091,4-03087-0025,65-74 Saunders St.,Flushing,11374
2092,4-02212-0001,69-11 Yellowstone Boulevard,Flushing,11375
2093,4-03078-0103,93-40 Queens Boulevard,Flushing,11374
2094,4-03159-7501,98-76 Queens Boulevard,Flushing,11374
2095,4-02235-0038,71-40 112 Street,Flushing,11375
2096,4-01457-0056,35-33 83rd Street,Jackson Heights,11372
2097,3-07674-0030,1903 OCEAN AVENUE,Brooklyn,11230
2098,4-02236-0027,110-48 72nd   AVENUE,Forest Hills,11375
2099,4004157502,41-23 Crescent Street,Long Island City,11101
2100,1015700021,1731 York Avenue,Manhattan,10128
2101,2028290001,1970 Walton Ave,Bronx,10453
2102,1021390517,4 S Pinehurst Ave,New York,10033
2103,2025770038,480 Concord Ave,Bronx,10455
2104,1021630044,"4240 Broadway, New York",New York,10033
2105,1-01213-7504,107 W 82 Street,New York,10024
2106,3-00235-0020,127 Willow Street,Brooklyn,11201
2107,1-00856-7501,50 Madison Avenue,New York,10010
2108,1-00771-0068,258 West 22nd Street,New York,10011
2109,1-01441-0014,321 East 66th Street,New York,10065
2110,3-06627-0043,217 Quentin Road,Brooklyn,11223
2111,3-06627-0038,235 Quentin Road,Brooklyn,11223
2112,3-06284-0050,1779 81st Street,Brooklyn,11214
2113,1-01594-0022,21 Central Park North,New York,10026
2114,1-01551-0012,319 East 88 St,New York,10128
2115,1-01630-0005,109 East 102 Street,New York,10029
2116,1021390578,824 West 176th Street,New York,10033
2117,1021390537,2 South Pinehurst Avenue,New York,10033
2118,1012100055,150 West 80th Street,New York,10024
2119,1021800480,4411 Broadway,New York,10040
2120,4097100002,85-15 139th Street,Queens,11435
2121,,41 W 83rd Street,New York,10024
2122,,262 W 107th Street,New York,10025
2123,,4460 Broadway,New York,10040
2124,1-00016-0185,211NEA,New York,10282
2125,1-00016-0180,20 River Terrace,New York,10282
2126,1-00826-0001,77 W 24th Street,New York,10010
2127,4-05145-0068,137-77 45th Ave,Flushing,11355
2128,1-01796-0020,333 E 119th Street,New York,10035
2129,1-01795-0035,342 E 119th Street,New York,10035
2130,4-01782-0005,112-22 37 Ave,Flushing,11368
2131,1-01577-0008,511 East 80th St,New York,10075
2132,1002127503,One York Street,New York City,10013
2133,3-08144-0020,945 EAST 94th STREET,Brooklyn,11236
2134,2-02459-0034,888 GRAND CONCOURSE,Bronx,10451
2135,3-06100-0028,28 Marine Avenue,Brooklyn,11209
2136,1012130009,139 West 82nd Street,New York,10024
2137,2039447501,1 Metropolitan Oval,Bronx,10462
2138,1-02225-0044,611 ACADEMY STREET,New York,10034
2139,2-03195-0051,2170 DAVIDSON AVENUE,Bronx,10453
2140,2-02865-0126,37 FEATHERBED LANE,Bronx,10452
2141,2-02459-0055,185 EAST 159 STREET,Bronx,10451
2142,2-03193-0021,2073 DAVIDSON AVENUE,Bronx,10453
2143,2-02879-0235,1840 PHELAN PLACE,Bronx,10453
2144,2-02879-0240,1850 PHELAN PLACE,Bronx,10453
2145,2-03253-0001,2707 SEDGWICK AVENUE,Bronx,10468
2146,2-02703-0014,938 INTERVALE AVENUE,Bronx,10459
2147,2-02761-0083,916 FAILE STREET,Bronx,10474
2148,2-03195-0022,28 WEST 182 STREET,Bronx,10453
2149,2-03199-0034,2415 DAVIDSON AVENUE,Bronx,10468
2150,2-03196-0029,2234 DAVIDSON AVENUE,Bronx,10453
2151,2-03248-0158,2734 SEDGWICK AVENUE,Bronx,10468
2152,2-03207-0056,50 WEST 182 STREET,Bronx,10453
2153,1003970012,157 East 2nd Street,New York,10009
2154,3-08716-0085,3033 BRIGHTON 13 STREET,Brooklyn,11235
2155,3-01288-0038,1116 CARROLL STREET,Brooklyn,11225
2156,3-05194-0001,2802 CLARENDON ROAD,Brooklyn,11226
2157,4-02172-0001,65-11 108 Street,Forest Hills,11375
2158,1-00016-7517,70 Little West Street,New York,10004
2159,1011430030,111 W 71st ST,Manhattan,10023
2160,1011450012,141 W 73 ST,Manhattan,10023
2161,1009960014,127 W 43 st,Manhattan,10036
2162,1-01364-0022,435 East 52 Street,New York,10022
2163,2022830033,455 E 138th street,Bronx,10454
2164,1016217502,55 E 115 Street,Bronx,10029
2165,2023770020,441 East 155Street,Bronx,10455
2166,4-02102-0001,64-33 98Th St,Rego Park,11374
2167,1004000001,66 Avenue A,New York,10009
2168,2-04222-0084,1579 Rhinelander Ave,Bronx,10461
2169,2-04205-0002,1915 - 1935 Eastchester Avenue,Bronx,10461
2170,1-01581-0045,510 East 85 Street,New York,10028
2171,4-03079-0086,62-82 Saunders St,Queens,11374
2172,4-00034-7501,5-49 Borden Ave,Queens,11101
2173,2-05737-0061,640 West 231st Street,Bronx,10463
2174,2-05723-7501,2287 Johnson Ave,Bronx,10463
2175,2-05743-0203,2550 Independence Ave,Bronx,10463
2176,2-05745-0012,2727 Palisade Ave,Beonx,10463
2177,2-05726-0673,2750 Johnson Ave,Bronx,10463
2178,2-05787-0130,3200 Netherland Ave,Bronx,10463
2179,2-05855-2239,5730 Mosholu Avenue,Bronx,10471
2180,2-05796-0135,3656 Johnson Ave,Bronx,10463
2181,2-05919-0436,3777 Independence Ave,Bronx,10463
2182,2-05920-0500,3901 Independence Ave,Bronx,10463
2183,2-05788-7501,3220 Arlington Avenue,Bronx,104712128
2184,4-00040-7501,10-50 Jackson Avenue,Queens,11101
2185,2-05792-0445,525 West 235th Street,Bronx,10463
2186,2-05792-0422,3512 Oxford Avenue,Bronx,10463
2187,1-01410-0009,111 E 75th Street,New York,10021
2188,4-02103-0001,98-09 QUEENS BLVD,REGO PARK,11374
2189,1-01547-0049,1632 2nd Avenue,New York,10028
2190,1-00774-7501,252 7th Avenue,New York,10001
2191,6293618,8001 Bay Parkway,Brooklyn,11214
2192,2031300002,975 East Tremont,Bronx,10460
2193,2029600028,866-76 Elsmere Place,Bronx,10460
2194,2029920052,1945 Vyse Avenue,Bronx,10460
2195,1-00123-7502,27 Barclay St,New York,10007
2196,2-03169-0034,2101 Creston Avenue,New York,10453
2197,,1706 Nelson Ave,Bronx,10453
2198,4-00267-7503,44-15 Purves Street,Long Island City,11101
2199,3-01864-0044,437 HERKIMER ST,BROOKLYN,11213
2200,1018590039,120 West 105th street,New York,10025
2201,1018780037,210 West 107th Street,Manhattan,10025
2202,1018780042,220 West 107th Street,Manhattan,10025
2203,3070460001,2911 W 36th Street,Brooklyn,11224
2204,2033310020,3060 Decatur avenue,bronx,10467
2205,2033260150,55 east 208th street,bronx,10467
2206,,3070 Decatur Ave,Bronx,10467
2207,2033310020,3060 Decatur avenue,bronx,10467
2208,2033260150,55 east 208th street,bronx,10467
2209,2033310026,3070 Decatur Ave,Bronx,10467
2210,2033280152,3540 Dekalb Avenue,Bronx,10467
2211,2039377501,2000 East Tremont Ave,Bronx,10462
2212,2039297501,2000 East Tremont Ave,Bronx,10462
2213,2039387501,2000 East Tremont Ave,Bronx,10462
2214,2039437501,2000 East Tremont Ave,Bronx,10462
2215,2-02880-0017,1520 Sedgwick Ave,Bronx,10453
2216,2039447501,5 Metropolitan Oval,Bronx,10462
2217,3023327501,34 North 6th Street,Brooklyn,11211
2218,3023247501,27 North 6th Street,Brooklyn,11211
2219,3023400004,1 North 4th Place,Brooklyn,11249
2220,225820065,500 Union Avenue,Bronx,10455
2221,2025827501,535 Union Avenue,Bronx,10455
2222,3062630038,7802 21st ave,Brooklyn,11214
2223,2-02869-0087,1898 Harrison Ave,New York,10453
2224,2-02568-0076,683 East 140 St,Bronx,10454
2225,2025540005,615 E 141ST ST,Bronx,10454
2226,2025520040,283 CYPRESS AVENUE,Bronx,10454
2227,2025680045,673 E 140TH ST,Bronx,10454
2228,2025680051,666 E 141ST ST,Bronx,10454
2229,2025540049,345 CYPRESS AVE,Bronx,10454
2230,2025680054,676 E 141ST ST,Bronx,10454
2231,2025550030,593 OAK TERRACE,Bronx,10454
2232,2025680057,694 E 141ST ST,Bronx,10454
2233,2025510062,613 E 138TH ST,Bronx,10454
2234,2025530023,600 E 141ST ST,Bronx,10454
2235,2025510065,597 E 138TH ST,Bronx,10454
2236,2025550003,593 E 141ST ST,Bronx,10454
2237,2025530031,620 E 141ST ST,Bronx,10454
2238,1-02039-0010,263 West 153rd Street,New York,10039
2239,3038370026,539 Alabama Ave,Brooklyn,11207
2240,1-01946-0029,2211 8th Avenue,Manhattan,10026
2241,,2191 Creston Ave,Bronx,10453
2242,,2199 Morris Ave,Bronx,10453
2243,2-03344-0014,3530 Bainbridge Ave,Bronx,10467
2244,2-03203-0007,2458 Grand Ave,Bronx,10468
2245,2-03190-0056,2501 Morris Ave,Bronx,10468
2246,2-03220-0102,2515 University Ave,Bronx,10468
2247,1-02180-0085,731 West 183rd St,New York,10033
2248,,562 West 193rd St,Bronx,10040
2249,,579 Ft Washington Ave,New York,10033
2250,,2200 Walton Ave,Bronx,10453
2251,,2205 Creston Ave,Bronx,10453
2252,4-02144-0020,105-55 62nd Drive,Queens,11375
2253,1-02243-0090,221-229 Seaman Avenue,New York,10034
2254,4-03170-0001,100-11 67 Road,Queens,11375
2255,4-09951-0011,"182-25 Wexford Terrace,",Queens,11432
2256,4-01273-0001,"73-12 35 Avenue,",Queens,11372
2257,4-02113-0001,"64-11 99 Street,","Queens,",11374
2258,3-08710-7501,"10 Shore Boulevard,",Brooklyn,10022
2259,3-08710-7501,40 Shore Boulevard,Brooklyn,11235
2260,3-05868-7501,6902 Narrows Avenue,Brooklyn,11209
2261,3-06083-0001,9101 Shore Road,Brooklyn,11209
2262,3-05928-0001,7423 Ridge Boulevard,Brooklyn,11209
2263,3-05938-0047,7520 Ridge Boulevard,Brooklyn,11209
2264,4-09836-0022,164-20 Highland Avenue,Queens,11432
2265,3-07260-0028,2727 Ocean Parkway,Brooklyn,11235
2266,3-05980-0001,7901 4th Avenue,Brooklyn,11209
2267,4-09845-0027,172-70 Highland Avenue,Queens,11432
2268,3-06414-7501,8686 Bay Parkway,Brooklyn,11214
2269,3-05305-0051,36 Dahill Road,Brooklyn,11218
2270,4-03080-0043,63-45 Saunders Street,Queens,11374
2271,3-08685-0083,3111 Brighton 2 Street,Brooklyn,11235
2272,1-01520-0025,155 East 91 Street,Manhattan,10128
2273,4-01453-0010,92-16 34th Ave,Jackson Heights,11372
2274,4-02864-0021,86-10 Grand Ave.,Queens,11373
2275,4-02476-7501,51-33 Goldsmith Street,Queens,11373
2276,1-00575-7502,31 West 11,Manhattan,10011
2277,2028780015,1615 University Ave,Bronx,10453
2278,2028780017,1611 University Ave,Bronx,10453
2279,4-05146-0027,137-40 45th Avenue,Queens,11355
2280,4-05181-0001,142-15 Franklin Avenue,Queens,11355
2281,3-02907-7503,42 Maspeth Avenue,Brooklyn,11211
2282,4-03293-0050,111-15 75th Avenue,Queens,10075
2283,2028780019,1605 University Ave,Bronx,10453
2284,2-04293-0023,2110 Barnes Ave,Bronx,10462
2285,2-03309-0010,220-222 E 204 St,Bronx,10458
2286,2-03354-0047,375 E 205 St,Bronx,10467
2287,2-03306-0011,2960 Grand Concourse,Bronx,10458
2288,2-03307-0072,3010 Grand Concourse,Bronx,10458
2289,4-02226-0001,109-15 Queens Blvd,Forest Hills,11375
2290,2-03312-0019,190 E 206 Street,Bronx,10458
2291,2-03292-0075,2950 BAINBRIDGE AVENUE,Bronx,10458
2292,2-03203-0012,2472 GRAND AVENUE,Bronx,10468
2293,2-03203-0016,2474 GRAND AVENUE,Bronx,10468
2294,4050027501,139-76,flushing,11354
2295,2028780001,1601 University Ave,Bronx,10453
2296,1-00452-0006,170 Second Avenue,New York,10003
2297,1-00857-0018,66 Madison Avenue,New York,10016
2298,1-00918-0025,245 E 37 Street,New York,10016
2299,1-01143-0039,118 W 72 Street,New York,10023
2300,1-00179-0021,10 Leonard Street,New York,10013
2301,1-01238-0052,250 W 91 St,New York,10024
2302,2028760185,1665 Macombs Rd,Bronx,10453
2303,3-00746-0039,4520 4th Ave,Brooklyn,11220
2304,3-06508-0006,870 Ocean Parkway,Brooklyn,11230
2305,1-02180-0187,738-40 W 187 Street,New York,10033
2306,2-04130-0033,1801 Haight Ave,Bronx,10461
2307,3-07369-0027,2190 Brigham St; 2170 Brigham St;,Brooklyn,11229
2308,3-07370-0021,3105 Ave V; 2140 Knapp St;,Brooklyn,11229
2309,1-01919-0026,485 Lenox Avenue,New York,10037
2310,3-07238-0115,2650 Ocean Parkway,Brooklyn,11235
2311,4-03078-0085,93-10 QUEENS BLVD,QUEENS,11374
2312,4-09265-0006,85-10 120 STREET,QUEENS,11415
2313,3045167501,901 Drew Street,Brooklyn,11208
2314,3045157501,902 Drew Street,Brooklyn,11208
2315,3024820026,1133 Manhattan Ave,Brooklyn,11222
2316,2-02689-0009,860 EAST 161 STREET,Bronx,10459
2317,2-02850-0040,1770 TOWNSEND AVENUE,Bronx,10453
2318,3-07238-0115,2650 Ocean Parkway,Brooklyn,11235
2319,2-04319-0030,2199 Holland Avenue,Bronx,10462
2320,3-08771-0135,1625 Emmons Ave,Brooklyn,11235
2321,4-01837-0104,86-15 Broadway,Queens,11373
2322,2-02878-0005,1472 Montgomery Avenue,Bronx,10453
2323,3-06099-0013,9201 Shore Road,Brooklyn,11209
2324,3-02068-0001,105 Ashland Place,Brooklyn,11201
2325,4-05137-0067,43-10 Kissena Blvd,Flushing,11355
2326,3-07440-7501,2900 Ocean Avenue,Brooklyn,11235
2327,4-05024-7501,144-77 Roosevelt Avenue,Queens,11354
2328,3-05279-0019,185 Prospect Park SW,Brooklyn,11218
2329,2-03323-0001,3224 Grand Concourse,Bronx,10458
2330,2-03129-0010,922 Bronx Park South,Bronx,10460
2331,2-03329-0010,3572 Dekalb Avenue,Bronx,10467
2332,2-03329-0020,3576 Dekalb Avenue,Bronx,10467
2333,2-02794-0042,1704 Morris Avenue,Bronx,10457
2334,2-02824-0051,1711 Morris Avenue,Bronx,10457
2335,2-03129-0021,944 BRONX PARK SOUTH,Bronx,10460
2336,2-02824-0062,1685 MORRIS AVENUE,Bronx,10457
2337,2-03863-0033,1374 BRONX RIVER AVENUE,Bronx,10472
2338,2-03129-0018,938 BRONX PARK SOUTH,Bronx,10460
2339,2-03129-0015,932 BRONX PARK SOUTH,Bronx,10460
2340,2-02821-0068,1511 SHERIDAN AVENUE,Bronx,10457
2341,2-03323-0001,3224 Grand Concourse,Bronx,10458
2342,2-03129-0010,922 Bronx Park South,Bronx,10460
2343,2-03329-0010,3572 Dekalb Avenue,Bronx,10467
2344,2-03329-0020,3576 Dekalb Avenue,Bronx,10467
2345,2-02826-0062,1777 Grand Concourse,Bronx,10453
2346,2-02794-0042,1704 Morris Avenue,Bronx,10457
2347,2-02824-0051,1711 Morris Avenue,Bronx,10457
2348,2-03129-0021,944 BRONX PARK SOUTH,Bronx,10460
2349,2-02824-0062,1685 MORRIS AVENUE,Bronx,10457
2350,2-03863-0033,1374 BRONX RIVER AVENUE,Bronx,10472
2351,2-03129-0018,938 BRONX PARK SOUTH,Bronx,10460
2352,2-03129-0015,932 BRONX PARK SOUTH,Bronx,10460
2353,2-02821-0068,1511 SHERIDAN AVENUE,Bronx,10457
2354,2024350025,1175 Findlay Avenue,Bronx,10456
2355,4-15945-0001,333 Beach 32 Street,Queens,11691
2356,4-15624-0001,252 Beach 14 Street,Queens,11691
2357,4-15625-0001,250 Beach 15 Street,Queens,11691
2358,4-05146-0027,137-40 45th Avenue,Queens,11355
2359,4-05181-0001,142-15 Franklin Avenue,Queens,11355
2360,4-03293-0050,111-15 75th Avenue,Queens,10075
2361,1-01046-0001,357 West 55th Street,New York,10019
2362,1-01444-0036,320-326 East 70th St.,New York,10021
2363,3-02907-7503,42 Maspeth Avenue,Brooklyn,11211
2364,3-07392-0001,2232 Brigham Street,Brooklyn,11229
2365,4-04772-0001,142-20 26th Ave,Queens,11355
2366,3-05646-0030,1037 51st street,brooklyn,11219
2367,3-05247-0016,645 East 26th. Street,Brooklyn,11210
2368,1-02248-0001,91 Payson Avenue,New York,10034
2369,3-05495-1018,1170 Ocean Parkway,Brooklyn,11230
2370,1-02170-0131,17 Fort George Hill,New York,10040
2371,3-05881-0038,15 Mackay Place,Brooklyn,11209
2372,3-05320-0001,71 Ocean Parkway,Brooklyn,11218
2373,4-16231-0044,121-16 Ocean Promenade,Queens,11694
2374,3-06485-0003,1511 Independence Ave,Brooklyn,11228
2375,1-02077-0001,3544 Broadway,New York,10031
2376,4-00607-0018,34-17/19 30 Street,Astoria,11106
2377,4-01526-0016,42-26 81ST STREET,ELMHURST,11373
2378,4-00673-0042,34-50 41 Street,Long Island City,11101
2379,4-00577-7501,30-44 29 Street,Astoria,11102
2380,4-01547-0001,84-19 51 Avenue,Elmhurst,11373
2381,4-03334-0250,78-14 Austin Street,Forest Hills,11375
2382,4-03154-0001,66-15 Thornton Place,Forest Hills,11374
2383,4-00872-0068,25-34 Crescent Street,Astoria,11102
2384,4-01855-7501,53-11 90 Street,Elmhurst,11373
2385,4-03166-0107,67-41 Burns Street,Forest Hills,11375
2386,4-05137-7502,137-10 Franklin Avenue,Flushing,11355
2387,4-02864-0017,86-04 Grand Avenue,Elmhurst,11373
2388,4-01551-0026,92-05 Whitney Avenue,Elmhurst,11373
2389,4-01470-0012,37-16/20 83 Street,Jackson Heights,11372
2390,4-06690-0016,149-05 79 Avenue,Flushing,11367
2391,4-03334-0186,77-16/20 Austin Street,Forest Hills,11375
2392,4-04343-0125,139-19/25 31 Road,Flushing,11354
2393,4-01517-0059,83-25 Vietor Avenue,Elmhurst,11373
2394,4-00341-7501,35-40 30TH STREET,ASTORIA,11106
2395,4-01569-0037,91-15 LAMONT AVENUE,ELMHURST,11373
2396,4-09738-7501,143-20 Hoover Avenue,Briarwood,11432
2397,4-04977-7501,136-75 37TH AVENUE,FLUSHING,11354
2398,4-02236-0001,72-11 110th Street,Forest Hills,11375
2399,4-01263-0001,76-10 34th Avenue,Flushing,11372
2400,4-01470-0024,37-30 83rd Street,Jackson Heights,11357
2401,4-03157-0101,66-15 Wetherole Street,Rego Park,11374
2402,3-06099-0001,15/25/35 Oliver St,Brooklyn,11209
2403,3-06801-0001,1717 East 18th Street,Brooklyn,11229
2404,3-05218-0001,1818  Newkirk Ave,Brooklyn,11226
2405,2026860001,920 Ave St John,Bronx,10455
2406,4005440007,23-08 Newtown Ave,Queens,11102
2407,2026740012,565 Prospect Avenue,Bronx,10455
2408,3-06078-0031,20 && 40 89th Street,Brooklyn,11209
2409,3-05872-0007,315 Ovington Avenue,Brooklyn,11209
2410,1-01472-0014,435 E 77th Street,New York,10075
2411,2028670047,1711 DAVIDSON AVENUE,Bronx,10453
2412,3-06115-0006,9425 Shore Road,Brooklyn,11209
2413,3-06115-0001,9437 Shore Road,Brooklyn,11209
2414,3-06129-0012,9701 Shore Road,Brooklyn,11209
2415,3-01065-0037,90 8th avenue,Brooklyn,11215
2416,1-00027-7501,55 wall street,New York,10005
2417,2-03766-0052,1259 LELAND AVE,BRONX,10472
2418,2-03171-0005,2244 MORRIS AVE,BRONX,10453
2419,1000310001,10 Hanover Square,New York,10005
2420,1-01158-7501,160 West End Avenue,New York,10023
2421,3-05938-0015,130 Bay Ridge Parkway,Brooklyn,11209
2422,1-01499-0025,55 East 87th Street,New York,10128
2423,1-01263-7501,18 west 48th street,New York,10036
2424,1-00143-0004,55 Hudson St,New York,10013
2425,3-00265-0001,75 Livingston St,Brooklyn,11201
2426,3-00051-7501,84 Front Street,Brooklyn,11201
2427,3-05925-0053,7401 Shore Road,Brooklyn,11209
2428,1-01590-0036,85 East End Avenue,New York,10028
2429,4-02093-0001,61-15 98th Street; 61-25 98th St;,Queens,11374
2430,4-02093-0245,61-55 98th St; 61-45 98th St,Rego Park,11374
2431,1-01011-0042,120 Central Park S.,New York,10019
2432,1-00212-7503,1 York St,New York,10013
2433,3-06126-0041,351 Marine Ave,Brooklyn,11209
2434,3-05889-0003,7101 Colonial Road,Brooklyn,11209
2435,1-02142-0090,286 Fort Washington Avenue,New York,10032-1315
2436,1013020033,160 East 48th Street,Manhattan,10017
2437,2-02473-0048,721 Walton Avenue,Bronx,10451
2438,2-02482-0040,731 Gerard Avenue,Bronx,10451
2439,2-02473-0043,735 Walton Avenue,Bronx,10451
2440,2-03292-0001,2961-65 Marion Avenue,Bronx,10458
2441,2-02348-0053,175 East 151 St,Bronx,10451
2442,2-02473-0033,751 Walton Avenue,Bronx,10451
2443,2-03285-0019,2976 Marion Avenue,Bronx,10458
2444,2-02473-0055,711 Walton Avenue,Bronx,10471
2445,3-05873-0084,415 Ovington Ave,Brooklyn,11209
2446,3-06058-0012,8901 Shore Road,Brooklyn,11209
2447,4-06698-0040,150-29 72nd Road,Queens,11367
2448,1010287501,1775 Broadway & 235 W 56th St,New York,10019
2449,1015600001,401 East 80th Street,NY,10075
2450,4012620034,75-05/15 35th Avenue,Jackson Heights,11372
2451,1-02161-0045,562 West 193rd St,Bronx,10040
2452,1-02179-0218,579 Ft Washington Ave,New York,10033
2453,2-03170-0040,2191 Creston Ave,Bronx,10453
2454,2-03181-0030,2199 Morris Ave,Bronx,10453
2455,2-03181-0015,2200 Walton Ave,Bronx,10453
2456,2-03170-0034,2205 Creston Ave,Bronx,10453
2457,2-03341-0044,284 East 206th St,Bronx,10467
2458,2-04833-0064,646 E 231st St,Bronx,10466
2459,2-03741-0030,1158 Boynton Ave,Bronx,10472
2460,1-02179-0218,579 Ft Washington Ave,New York,10033
2461,2-04833-0058,636 East 231st St,Bronx,10466
2462,2-03341-0016,3153 Perry Ave,Bronx,10467
2463,3053900003,423 Ocean Parkway,Brooklyn,11218
2464,1012067501,327 Central Park West,Manhattan,10025
2465,4020860040,62-60 99th Street,Queens,11374
2466,1-00501-7501,111 Wooster Street,New York,10012
2467,1-00744-0001,365 West 20th Street,New York,10011
2468,1-00769-7506,217 West 19th Street,New York,10011
2469,1-00842-7501,69 Fifth Avenue,New York,10003
2470,1-00851-7504,29 East 22nd Street,New York,10010
2471,1-01184-0087,304 West 75th Street,New York,10023
2472,1-01209-7502,360 Central Park West,New York,10025
2473,1-01233-0029,201 West 85th Street,New York,10024
2474,1-01239-7502,650 West End Avenue,New York,10025
2475,1-01252-0057,697 West End Avenue,New York,10025
2476,1-01471-0045,400 East 77th Street,New York,10075
2477,1-01518-0049,1349 Lexington Avenue,New York,10128
2478,1-01550-0007,309 East 87th Street,New York,10128
2479,1-01842-7501,467 Central Park West,New York,10025
2480,1-01872-0043,210 West 101th Street,New York,10025
2481,1-01881-7502,520 West 110th Street,New York,10025
2482,1-02177-0087,447 Fort Washington Avenue,New York,10033
2483,1-02180-0326,143 Bennett Avenue (3 Buildings),New York,10020
2484,1-01223-7504,134 West 93rd Street,Manhattan,10025
2485,1-00695-7504,231-233 10th Avenue,Manhattan,10011
2486,1-01235-0002,562 West End Avenue,Manhattan,10024
2487,1-01895-0038,404 Riverside Drive,Manhattan,10025
2488,3-05150-0021,770 Ocean Avenue,Brooklyn,11226
2489,,36 Kenilworth Place,Brooklyn,11210
2490,3-07124-7501,71 Village RD N,Brooklyn,11223
2491,1-01011-0025,"117 West 58th Street, New York",Manhattan,10019
2492,1-00881-0041,"344 3rd Avenue, New York",Manhattan,10010
2493,1-00911-0008,207 East 30th St,Manhattan,10016
2494,4-05134-0024,"136-30 Sanford Avenue, Queens",Queens,11355
2495,4-05122-0046,"134-25 Franklin Avenue, Queens",Queens,11355
2496,2-05708-7501,"3120 Corlear Avenue, Bronx",Bronx,10463
2497,2-05787-0177,3225 Johnson Ave.,Bronx,10463
2498,2-03260-0050,147 West 230th St.,Bronx,10463
2499,1-01146-0018,123 West 74th Street,New York,10023
2500,2-05773-0290,"275 West 238th Street, Bronx",Bronx,10463
2501,2-04319-0045,"2157 Holland Avenue, Bronx",Bronx,10462
2502,2-03982-0016,"2510-2520 Frisby Avenue, Bronx",Bronx,10461
2503,2-03980-0007,"2508 Tratman Avenue, Bronx",Bronx,10461
2504,2-03982-0007,"2500-2508 Frisby Avenue, Bronx",Bronx,10461
2505,2-04550-0027,"808 Adee Avenue, Bronx",Bronx,10467
2506,2-04286-0004,"673 Brady Avenue, Bronx",Bronx,10462
2507,2-03308-0012,226 E 203rd Street,Bronx,10458
2508,2-02482-0001,109 E 53rd Street,Bronx,10451
2509,2-04668-0001,770 E 221 Street,Bronx,10467
2510,1-02155-0068,361 AUDUBON AVENUE,New York,10033
2511,1-02155-0091,2486 AMSTERDAM AVENUE,New York,10033
2512,4-01564-0004,"92-16 Whitney Avenue, Queens",Queens,11373
2513,1-01466-0003,1330 1st Ave,New York,10021
2514,4-01331-0046,"59-16 Woodside Avenue, Queens",Queens,11377
2515,4-01525-0018,"42-16 80th Street, Queens",Queens,11373
2516,4-01913-0001,"94-10 60th Avenue, Queens",Queens,11373
2517,4-00153-0033,45-34 47th St,Woodside,11377
2518,4-01336-0052,40-14 62nd St,Woodside,11377
2519,1-01465-0021,1313 York Ave,New York,10021
2520,1-01482-0001,1314 York Ave,New York,10021
