22641,"106 Gerry Street, Brooklyn, NY, 11206",Match,Exact,"106 GERRY ST, BROOKLYN, NY, 11206","-73.94615955399996,40.70229064700004",59078711,R,36,47,50700,1009
21318,"206 Quentin Road, Brooklyn, NY, 11223",Match,Exact,"206 QUENTIN RD, BROOKLYN, NY, 11223","-73.97855683599994,40.60601152000004",59089474,R,36,47,42600,1001
22642,"306 Union Avenue, Brooklyn, NY, 11211",Match,Exact,"306 UNION AVE, BROOKLYN, NY, 11211","-73.95089455699997,40.70968901800006",59076872,R,36,47,51300,2002
21317,"6309 23rd Ave, Brooklyn, NY, 11204",Match,Exact,"6309 23RD AVE, BROOKLYN, NY, 11204","-73.97807043299997,40.61357142500003",59089409,L,36,47,43600,1001
22643,"320 Devoe Street, Brooklyn, NY, 11211",Match,Exact,"320 DEVOE ST, BROOKLYN, NY, 11211","-73.93766583599995,40.71382515000005",59077307,R,36,47,48100,3002
21316,"271 Hawthorne St, Brooklyn, NY, 11225",Match,Exact,"271 HAWTHORNE ST, BROOKLYN, NY, 11225","-73.95134831899998,40.657783368000025",59079608,L,36,47,80200,1002
22644,"695 Grand Street, Brooklyn, NY, 11211",Match,Exact,"695 GRAND ST, BROOKLYN, NY, 11211","-73.94480650499997,40.71156327600005",642654157,L,36,47,49500,3002
21315,"646 Argyle Road, Brooklyn, NY, 11230",Match,Exact,"646 ARGYLE RD, BROOKLYN, NY, 11230","-73.96485614999995,40.633481448000055",59081088,R,36,47,52600,3002
22645,"352 W 117th St, New York, NY, 10026",Match,Exact,"352 W 117TH ST, NEW YORK, NY, 10026","-73.95645382399994,40.80575687400005",59657645,L,36,61,20102,4001
22613,"1305 Morris Aveue, Bronx, NY, 10456",Match,Non_Exact,"1305 MORRIS AVE, BRONX, NY, 10456","-73.91262059799999,40.83578578400005",80299958,L,36,5,17902,1000
22614,"1344 Clinton Avenue, Bronx, NY, 10456",Match,Exact,"1344 CLINTON AVE, BRONX, NY, 10456","-73.89972214099998,40.83279504300003",80301369,R,36,5,15100,3000
22615,"1351 Boston Road, Bronx, NY, 10456",Match,Exact,"1351 BOSTON RD, BRONX, NY, 10456","-73.89915075299996,40.831915339000034",642559161,L,36,5,15100,3000
22616,"1974 Hughes Avenue, Bronx, NY, 10457",Match,Exact,"1974 HUGHES AVE, BRONX, NY, 10457","-73.89191287499995,40.84650073500006",80301510,R,36,5,37300,3001
22617,"2614-20 University Avenue, Bronx, NY, 10456",Match,Non_Exact,"2614 UNIVERSITY AVE, BRONX, NY, 10468","-73.90186747799999,40.867270491000056",80298604,R,36,5,26500,1004
22618,"2260 Barker Avenue, Bronx, NY, 10467",Match,Exact,"2260 BARKER AVE, BRONX, NY, 10467","-73.86945996599997,40.86031057300005",650131059,R,36,5,33201,3001
22619,"3285 Rombouts Avenue, Bronx, NY, 10475",Match,Exact,"3285 ROMBOUTS AVE, BRONX, NY, 10475","-73.82766659599997,40.880190216000074",80313910,L,36,5,46203,3016
22610,"904 Amsterdam Avenue, New York, NY, 10025",Match,Exact,"904 AMSTERDAM AVE, NEW YORK, NY, 10025","-73.96654558499995,40.79930532900005",59656851,L,36,61,19100,5001
22611,"49 Wadsworth Terrace, New York, NY, 10040",Tie,,,,,,,,,
22612,"611 West 204th Street, New York, NY, 10034",Match,Exact,"611 W 204TH ST, NEW YORK, NY, 10034","-73.92210957799995,40.865470781000056",59658869,R,36,61,29300,3001
22624,"2322 Andrews Avenue, Manhattan, NY, 10468",No_Match,,,,,,,,,
22625,"1233 York Avenue, New York, NY, 10065",Match,Exact,"1233 YORK AVE, NEW YORK, NY, 10065","-73.95648337299997,40.76311273500005",59658441,L,36,61,11600,1006
22626,"475 Main Street, New York, NY, 10044",Match,Exact,"475 MAIN ST, NEW YORK, NY, 10044","-73.95155923799996,40.75963128500007",59658496,L,36,61,23804,3000
22627,"402 E 64th Street, New York, NY, 10065",Match,Exact,"402 E 64TH ST, NEW YORK, NY, 10065","-73.95925473399996,40.762550013000066",650084864,R,36,61,10602,1000
22628,"345 East 68th Street, New York, NY, 10065",Match,Exact,"345 E 68TH ST, NEW YORK, NY, 10065","-73.95914556499997,40.76578975900003",59657558,L,36,61,11800,4000
22629,"358 St Johns Pl, Brooklyn, NY, 11238",Match,Exact,"358 ST JOHNS PL, BROOKLYN, NY, 11238","-73.96523742699998,40.67405940500004",650086773,R,36,47,21500,3000
22620,"137 Jamaica Avenue, Brooklyn, NY, 11207",Match,Exact,"137 JAMAICA AVE, BROOKLYN, NY, 11207","-73.89510049799998,40.67922827900003",59084331,L,36,47,114201,2008
22621,"97 Crooke Avenue, Brooklyn, NY, 11226",Match,Exact,"97 CROOKE AVE, BROOKLYN, NY, 11226","-73.96232823399998,40.65289715400007",59078553,L,36,47,50804,2000
22622,"1420 27th Avenue, Queens, NY, 11102",No_Match,,,,,,,,,
22623,"247 Jersey Street, Staten Island, NY, 10301",Match,Exact,"247 JERSEY ST, STATEN ISLAND, NY, 10301","-74.08665585399996,40.641961078000065",59878600,L,36,85,900,2001
20896,"149-05 79th ave, Queens, NY, 11367",Match,Non_Exact,"149 79TH AVE, KEW GARDEN HL, NY, 11367","-73.81421503799999,40.71972227700007",59710630,L,36,81,77904,3001
20895,"65 Wadsworth Terrace, New York, NY, 10040",Tie,,,,,,,,,
20894,"608 w 192 st, New York, NY, 10040",Match,Exact,"608 W 192ND ST, NEW YORK, NY, 10040","-73.92886211299998,40.856245485000045",59659045,L,36,61,27900,2001
20893,"1806 Gateway blvd, Queens, NY, 11691",No_Match,,,,,,,,,
20892,"3114 Crescent st, Queens, NY, 11106",No_Match,,,,,,,,,
20891,"249 Ocean pkwy, Brooklyn, NY, 11218",Match,Exact,"249 OCEAN PKWY, BROOKLYN, NY, 11218","-73.97388378799997,40.64367949700005",59080625,R,36,47,49400,1001
