20001,57 Montague Street,Brooklyn,NY,11201
20002,602-18 Ocean Parkway,Brooklyn,NY,11218
20003,815 East 14th Street,Brooklyn,NY,11230
20004,925 East 14th Street,Brooklyn,NY,11230
20005,1809 Albermarle Road,Brooklyn,NY,11226
20006,2261 Ocean Avenue,Brooklyn,NY,11229
20007,68 East 19th Street,Brooklyn,NY,11226
20008,159 Eastern Parkway,Brooklyn,NY,11238
20009,110 New York Avenue,Brooklyn,NY,11216
20010,919 Park Place,Brooklyn,NY,11216
20011,277 Washington Avenue,Brooklyn,NY,11205
20012,97 Brooklyn Avenue,Brooklyn,NY,11216
20013,436 Eastern Parkway,Brooklyn,NY,11225
20014,1087 CARROLL ST,Brooklyn,NY,11225
20015,3026 BRIGHTON 14TH ST,Brooklyn,NY,11235
20016,537 CLINTON AVE,Brooklyn,NY,11238
20017,286 EASTERN PKWY,Brooklyn,NY,11225
20018,267 LINCOLN PL,Brooklyn,NY,11238
20019,73 ST PAULS PL,Brooklyn,NY,11226
20020,326 ST JOHNS PL,Brooklyn,NY,11238
20021,42-15 LAYTON ST,Queens,NY,11373
20022,42-25 LAYTON ST,Queens,NY,11373
20023,72 Box Street,Brooklyn,NY,11222
20024,3150 Rochambeau Avenue,Bronx,NY,10467
20025,115-117 West 197 Street,Bronx,NY,10468
20026,2816-18 Heath Avenue,Bronx,NY,10463
20027,3133 Rochambeau Ave,Bronx,NY,10467
20028,3145 Rochambeau Ave,Bronx,NY,10467
20029,725 West 172nd Street,New York,NY,10032
20030,275 Ft. Washington Ave.,New York,NY,10032
20031,545 - 547 West 158th Street,New York,NY,10032
20032,616 Academy Street,New York,NY,10034
20033,647 W. 172nd. Street,New York,NY,10032
20034,656 W. 171st Street,New York,NY,10032
20035,1175 Fulton Ave.,Bronx,NY,10456
20036,2565 Grand Concourse,Bronx,NY,10468
20037,2685 Valentine Avenue,Bronx,NY,10458
20038,2565 Marion Avenue,Bronx,NY,10458
20039,487 keap st,BROOKLYN,NY,11201
20040,500 STERLING PLAC PLP,BROOKLYN,NY,11238
20041,195 berry St,Brooklyn,NY,11211
20042,110 Bank Street,New York,NY,10014
20043,1229 Avenue Y,Brooklyn,NY,11235
20044,455 Fort Washington Avenue,New York,NY,10033
20045,9014 161 ST,Queens,NY,11432
20046,2009 Cruger Ave,Bronx,NY,10462
20047,1210 Stratford Ave,Bronx,NY,10472
20048,1124 Stratford Ave,Bronx,NY,10472
20049,643 Southern Boulevard,Bronx,NY,10455
20050,1007 Atlantic Ave,BROOKLYN,NY,11238
20051,405 W 13th Street,Manhattan,NY,10014
20052,261 BUFFALO AVE,Brooklyn,NY,11213
20053,985 PARK PL,Brooklyn,NY,11213
20054,1341 Franklin Ave,Bronx,NY,10456
20055,118 Duane Street,New York,NY,10007
20056,122 Duane Street,New York,NY,10007
20057,53 Howard Street,New York,NY,10013
20058,184 Joralemon Street,Brooklyn,NY,11201
20059,3000 BRIGHTON 12 STREET,Brooklyn,NY,11235
20060,434 Greenwich St.,New York,NY,10013
20061,66 Saint Pauls Place,Brooklyn,NY,11226
20062,35 Bethune Street,New York,NY,10014
20063,42 Main Street,Brooklyn,NY,11201
20064,155 Henry Street,Brooklyn,NY,11201
20065,114 Clinton Street,Brooklyn,NY,11201
20066,100 Sterling Place,Brooklyn,NY,11217
20067,333 Fourth Street,Brooklyn,NY,11215
20068,231 15th Street,Brooklyn,NY,11215
20069,133 8th Avenue / 10 Montgomery Place,Brooklyn,NY,11215
20070,305 Eighth Avenue,Brooklyn,NY,11215
20071,125 Prospect Park West,Brooklyn,NY,11215
20072,425 14th Street,Brooklyn,NY,11215
20073,273-277 East 239 Street,Bronx,NY,10470
20074,3605 Kingsbridge Avenue,Bronx,NY,10463
20075,2440 Maclay Ave,Bronx,NY,10461
20076,1868 Holland Ave,Bronx,NY,10462
20077,696 Rhinelander Ave,Bronx,NY,10462
20078,1845 Bogart Ave,Bronx,NY,10462
20079,72-74 Vermilyea Ave,New York,NY,10034
20080,661 WEST 179TH STREET,NEW YORK,NY,10033
20081,601 WEST 139TH STREET,NEW YORK,NY,10031
20082,129 WADSWORTH AVENUE,NEW YORK,NY,10033
20083,573 WEST 192ND STREET,NEW YORK,NY,10040
20084,1415 BRISTOW STREET,BRONX,NY,10459
20085,610-616 WEST 157TH STREET,NEW YORK,NY,10032
20086,91-10 34TH AVENUE,QUEENS,NY,11372
20087,500 Washington Ave,BROOKLYN,NY,11238
20088,853 ELSMERE PLACE,BRONX,NY,10460
20089,3093 Brighton 4th St,Brooklyn,NY,11235
20090,3101 Brighton 2nd St,Brooklyn,NY,11235
20091,1615 Quentin Rd,Brooklyn,NY,11229
20092,323 Dahill Rd,Brooklyn,NY,11218
20093,2425 Kings Highway,Brooklyn,NY,11210
20094,861 East 27th St,Brooklyn,NY,11210
20095,1721 Grand Avenue,Bronx,NY,10453
20096,2820 Morris Avenue,Bronx,NY,10468
20097,1672 Davidson Avenue,Bronx,NY,10453
20098,610 West 145 Street,Manhattan,NY,10031
20099,456 West 148 Street,Manhattan,NY,10031
20100,80 Haven Avenue,New York,NY,10032
20101,2100 Beekman Place,Brooklyn,NY,11225
20102,944 42 Street,Brooklyn,NY,11219
20103,757 Empire Boulevard,Brooklyn,NY,11213
20104,2063-2065 Creston Avenue,Bronx,NY,10453
20105,2075 Creston Avenue,Bronx,NY,10453
20106,108 Field Place,Bronx,NY,10468
20107,2095 Creston Avenue,Bronx,NY,10453
20108,2324 Morris Avenue,Bronx,NY,10468
20109,2084 Creston Ave,Bronx,NY,10453
20110,6914 Ridge Boulevard,Brooklyn,NY,11209
20111,1967 Ocean Avenue,Brooklyn,NY,11230
20112,890 East 14th Street,Brooklyn,NY,11230
20113,1249 Ocean Avenue,Brooklyn,NY,11230
20114,1261 Ocean Avenue,Brooklyn,NY,11230
20115,1271 Ocean Avenue,Brooklyn,NY,11230
20116,1506 Ocean Avenue,Brooklyn,NY,11230
20117,79 Sunnyside Avenue,Brooklyn,NY,11207
20118,1512 Park Place,Brooklyn,NY,11213
20119,1401 Elm Avenue,Brooklyn,NY,11230
20120,28-35 41st Street,Queens,NY,11103
20121,43-25 44th Street,Queens,NY,11104
20122,28 Marine Avenue,Brooklyn,NY,11209
20123,139 West 82nd Street,New York,NY,10024
20124,335 West 14th Street,New York,NY,10014
20125,337 West 14th Street,New York,NY,10014
20126,416 Lafayette Street,New York,NY,10003
20127,1020 Gerard Ave.,Bronx,NY,10452
20128,45 West tremont ave,Bronx,NY,10453
20129,1003 Greene Avenue,Brooklyn,NY,11221
20130,961 Willoughby Avenue,Brooklyn,NY,11221
20131,1322 44th St,Brooklyn,NY,11219
20132,2590 Ocean Ave,Brooklyn,NY,11229
20133,742 Montgomery Street,Brooklyn,NY,11213
20134,440 Brooklyn Avenue,Brooklyn,NY,11225
20135,770 Empire Boulevard,Brooklyn,NY,11213
20136,675 Empire Boulevard,Brooklyn,NY,11213
20137,1650 President Street,Brooklyn,NY,11213
20138,456 Brooklyn Avenue,Brooklyn,NY,11225
20139,760 Montgomery Street,Brooklyn,NY,11213
20140,658 Montgomery Street,Brooklyn,NY,11225
20141,679 Montgomery Street,Brooklyn,NY,11225
20142,836 Montgomery Street,Brooklyn,NY,11213
20143,577 Empire Boulevard,Brooklyn,NY,11225
20144,1625 President Street,Brooklyn,NY,11213
20145,7 Balfour Place,Brooklyn,NY,11225
20146,349 Crown Street,Brooklyn,NY,11225
20147,1577 Carroll Street,Brooklyn,NY,11213
20148,60 West 76th Street,New York,NY,10023
20149,325 E 80th Street,New York,NY,10075
20150,333 E 80th Street,New York,NY,10075
20151,209 East 119 Street,New York,NY,10035
20152,404-408-412 Audubon Ave,New York,NY,10033
20153,31 West 124 Street,New York,NY,10027
20154,520 West 139th Street,New York,NY,10031
20155,357 E 201st Street,Bronx,NY,10458
20156,100 Bennett Avenue,New York,NY,10033
20157,8215-4th Ave,Brooklyn,NY,11209
20158,430 East 86th Street,New York,NY,10028
20159,128-148 Seaman Avenue,Manhattan,NY,10034
20160,417 E 90th St,New York,NY,10128
20161,55 West 11th St,New York,NY,10011
20162,6836 108th Street,queens,NY,11375
20163,96-09 67th Ave,Rego Park,NY,11374
20164,41-96 Gleane Street,Queens,NY,11373
20165,675 Academy St,New York,NY,10034
20166,6838 Yellowstone,Queens,NY,11375
20167,1510 Ocean Parkway,Brooklyn,NY,11230
20168,103-26 68th Road,Queens,NY,11375
20169,21-05 30th Drive,Astoria,NY,11102
20170,91 E 208th St.,Bronx,NY,10467
20171,234 w 106th st,new york,NY,10025
20172,35-45 Arden St,New York,NY,10040
20173,420 E 86th St,Manhattan,NY,10028
20174,43-43 91stst Pl,Queens,NY,11373
20175,3563 89th Street,Queens,NY,11372
20176,35 East 84th Street,New York,NY,10028
20177,250 Parkville Avenue,Brooklyn,NY,11230
20178,1160 Evergreen Ave.,Bronx,NY,10472
20179,246 East 46th St,New York,NY,10017
20180,151-25 88th St,Queens,NY,11414
20181,8750 bay parkway,brooklyn,NY,11214
20182,630 Mace Avenue,Bronx,NY,10467
20183,32-15/32-25 93 street,Queens,NY,11212
20184,625 Ocean Ave,brooklyn,NY,11234
20185,950 East 14th st.,Brooklyn,NY,11230
20186,1505 Towsend Ave,Bronx,NY,10452
20187,333 McDonald Ave,Brooklyn,NY,11218
20188,870 St Nicholas Ave,New York,NY,10032
20189,104 E 2nd St,Brooklyn,NY,11218
20190,125-05 84th Ave,Queens,NY,11415
20191,1555 grand concourse,bronx,NY,10452
20192,2717 East 28 Street,Brooklyn,NY,11235
20193,3025 Godwin Terrace,Bronx,NY,10463
20194,80 Bay Street Landing,Staten Island,NY,10301
20195,1565 Towsend Ave,Bronx,NY,10452
20196,24 Lawton Street,Brooklyn,NY,11221
